Exercises,,Details,Reps,Work (s),Rest (s),Work total (s),Rest total (s),Intensity,Intensity total  (s),Poundage,Volume load
Session 1 short,,Work time (s),160.0,Work ratio,0.533,,,,,,
8778.00,,Intensity adjusted work (s),165.0,Adjusted work ratio,0.550,,,,,,
,,Rest total (s),300,Volume Load,8778.00,,,,,,
 Duration (minutes),,7.7,,Requirement,Nil,,,,,,
,,All exercises to be done with formaster and stabilisers,,Equipment ,"Bow, elbowsling, ",,,,,,
Do at start/end of shooting,,Strap length tip of fingers at full draw. ,,,,,,,,,
Can be done just riser and limbs,,"Look forward, not towards bow",,,,,,,,,
1,Static reversals," Draw elbow behind, front arm extended",5,10,25,50,125,1,50,53.2,2660
2,"Static, extend front","Push draw arm froward as far as possible, maintain posture",5,10,20,50,100,1.1,55,53.2,2926
3,Static reversals,,3,10,25,30,75,1,30,53.2,1596
4,Static hold,Hold as long as you can while maintaining posture,1,30,0,30,0,1,30,53.2,1596
,,,,,,,,,,,0
,"Property of the OLY Training System©️, a trading style of Patrick Huston Ltd.  Copyright Patrick Huston™️",,,,,,,,,,0
